eps1	q	p	epsv
21.10349091	314.3890529	257.1945265	-7.547702775
21.15660675	313.6177464	256.8088732	-7.552303349
21.20972259	313.5368665	256.7684333	-7.555523752
21.26283843	313.8389184	256.9194592	-7.559664269
21.31595427	313.8955785	256.9477893	-7.565645016
21.36907011	313.5666764	256.7833382	-7.569325476
21.42218595	312.7255744	256.3627872	-7.571165706
21.47530179	313.6071419	256.803571	-7.576226338
21.52841763	312.8673067	256.4336534	-7.579906797
21.58153348	312.3613722	256.1806861	-7.5831272
21.63464932	312.3826713	256.1913357	-7.587267717
21.68776516	311.2277081	255.6138541	-7.590948177
21.740881	311.2769513	255.6384757	-7.594628636
21.79399684	311.3588454	255.6794227	-7.598309096
21.84711268	311.1116659	255.555833	-7.601529498
21.90022852	310.6917839	255.345892	-7.602909671
21.95334436	311.0010302	255.5005151	-7.607510245
22.0064602	310.2993153	255.1496577	-7.610730648
22.05957604	309.7983772	254.8991886	-7.613030935
22.11269188	310.0882964	255.0441482	-7.617171452
22.16580772	309.8597117	254.9298559	-7.618551624
22.21892357	310.1276079	255.063804	-7.620851912
22.27203941	309.5193653	254.7596827	-7.624072314
22.32515525	310.2350377	255.1175189	-7.627752774
22.37827109	310.735784	255.367892	-7.630513119
22.43138693	309.6259186	254.8129593	-7.632813406
22.48450277	310.0446106	255.0223053	-7.636493866
22.53761861	310.2571227	255.1285614	-7.638794153
22.59073445	310.4650531	255.2325266	-7.642474613
22.64385029	309.574142	254.787071	-7.644314843
22.69696613	310.3518936	255.1759468	-7.649375475
22.75008197	309.3796146	254.6898073	-7.65029559
22.80319781	309.8704126	254.9352063	-7.654896164
22.85631366	311.1298108	255.5649054	-7.659036681
22.9094295	309.3838002	254.6919001	-7.662257084
22.96254534	309.9104029	254.9552015	-7.665017428
23.01566118	308.9052815	254.4526408	-7.666857658
23.06877702	309.4502285	254.7251143	-7.67191829
23.12189286	308.9511088	254.4755544	-7.67191829
23.1750087	308.9410421	254.4705211	-7.67559875
23.22812454	309.1211963	254.5605982	-7.678359095
23.28124038	309.092302	254.546151	-7.681579497
23.33435622	309.0307948	254.5153974	-7.684799899
23.38747206	308.1274877	254.0637439	-7.686180072
23.44058791	308.206952	254.103476	-7.689860532
23.49370375	308.9728775	254.4864388	-7.692620876
23.54681959	308.6639592	254.3319796	-7.696301336
23.59993543	308.8683565	254.4341783	-7.698601623
23.65305127	308.8196244	254.4098122	-7.701361968
23.70616711	309.0782899	254.539145	-7.70458237
23.75928295	309.6512501	254.8256251	-7.71010306
23.81239879	309.6975299	254.848765	-7.712863405
23.86551463	309.3310709	254.6655355	-7.716083807
23.91863047	308.3794958	254.1897479	-7.719764267
23.97174631	308.9066394	254.4533197	-7.722524612
24.02486215	308.6535111	254.3267556	-7.724364841
24.077978	308.0060234	254.0030117	-7.725284956
24.13109384	308.4583481	254.2291741	-7.728965416
24.18420968	308.0988953	254.0494477	-7.732185818
24.23732552	307.2541866	253.6270933	-7.733105933
24.29044136	308.0334231	254.0167116	-7.735866278
24.3435572	307.0668092	253.5334046	-7.73724645
24.39667304	308.209196	254.104598	-7.739546738
24.44978888	307.2674014	253.6337007	-7.741386968
24.50290472	308.0202951	254.0101476	-7.743227198
24.55602056	308.1291806	254.0645903	-7.745067427
24.6091364	307.173403	253.5867015	-7.745527485
24.66225224	307.0838548	253.5419274	-7.747827772
24.71536809	307.4321866	253.7160933	-7.75012806
24.76848393	307.989054	253.994527	-7.752428347
24.82159977	308.592877	254.2964385	-7.755648749
24.87471561	308.6633666	254.3316833	-7.758869151
